Meningitis,Alzheimer's Disease and Other Dementias,Parkinson's Disease,Nutritional Deficiencies,Malaria,Drowning,Interpersonal Violence,Maternal Disorders,HIV/AIDS,Tuberculosis,Cardiovascular Diseases,Lower Respiratory Infections,Neonatal Disorders,Self-harm,Diarrheal Diseases,Neoplasms,Diabetes Mellitus,Chronic Kidney Disease,Protein-Energy Malnutrition,Road Injuries,Chronic Respiratory Diseases,Cirrhosis and Other Chronic Liver Diseases,Digestive Diseases,Drug Use Disorders,Alcohol Use Disorders,Exposure to Forces of Nature,Environmental Heat and Cold Exposure,Conflict and Terrorism,Poisonings,"Fire, Heat, and Hot Substances",Acute Hepatitis
1,6,3,1,0,4,6,0,3,3,112,11,5,41,1,142,5,6,1,3,28,9,22,2,10,0,2,0,1,2,0
18316,9809,2585,24409,3739,11381,2659,18251,74,125100,285751,87403,101675,6623,126918,98800,34236,22809,23110,49190,66641,59154,85907,268,407,173,111,450,965,2046,10994
32,1001,207,12,0,68,70,6,39,29,11425,821,144,567,12,7408,580,386,8,616,1849,216,774,39,32,3,5,0,9,35,2
275,1370,385,100,0,158,281,65,17,83,40295,2573,1616,311,131,8046,1610,2382,74,1824,2966,1876,2399,131,59,13,22,60942,81,185,12
922,155,48,1495,332,174,587,926,2414,5061,5153,4810,3669,470,5224,2792,792,513,1445,989,978,1304,2034,11,48,0,58,1,139,152,114
1122,536,112,1499,3331,245,422,952,4775,4329,9046,6309,6853,610,4348,5324,1398,948,1453,2206,2089,2074,3456,13,96,5,50,103,183,212,174
108,723,131,20,1,427,417,52,165,934,18616,1935,1477,698,384,3415,269,569,17,726,3118,1743,2121,79,452,7,119,1,125,161,36
1630,485,136,1180,11717,307,148,1390,2798,2509,9009,7460,6765,491,3744,3801,1095,1036,1143,1493,1479,1192,2324,10,49,7,50,0,178,234,144
35,1115,276,2,0,133,183,7,16,274,25152,1060,256,1187,14,11486,970,490,1,814,1263,1745,2676,30,242,1,40,225,40,59,2
2578,450,125,1539,8636,381,111,1322,395,4004,8122,8484,10031,565,14182,3438,925,1360,1494,1245,1944,1530,2740,9,47,0,55,21,200,248,144
60843,56488,27779,63747,62028,67494,44464,66685,155231,492343,1897232,521542,679052,194152,845116,625818,179626,168171,43721,199985,913387,238390,424444,6120,19487,1738,10714,2580,5573,24771,60371
0,2,1,0,0,2,2,0,1,1,55,17,1,3,1,29,18,10,0,3,15,3,5,0,0,0,0,0,0,1,0
21,352,82,61,0,328,247,20,1,137,12681,728,781,142,266,4487,903,114,24,439,1130,534,928,6,136,0,205,10,74,180,6
2310,28328,7796,607,0,17231,53512,435,10192,26556,1296499,47571,7078,70561,815,307228,10016,10851,315,42937,49698,49781,89239,10785,53800,86,26621,2175,12860,14888,130
874,8405,1918,282,3,1464,2423,355,509,873,138683,10137,20141,4753,1150,44685,8152,8905,248,27972,13147,5692,9141,3713,208,0,68,255,1195,2405,441
6,8,6,12,22,22,2,8,5,33,420,82,80,35,62,104,42,25,11,42,110,33,61,1,2,0,1,0,2,3,4
191,2179,633,475,0,580,775,66,518,625,21981,5000,959,1917,262,20025,2105,2381,457,2381,3671,3874,6073,19,508,16,43,1,52,364,7
11,61,13,17,52,26,45,8,167,12,1038,128,200,116,47,429,142,145,17,88,87,95,191,4,11,0,0,0,2,11,1
4,16,7,5,0,13,11,3,3,18,378,61,34,25,13,108,70,36,5,28,106,25,47,1,1,0,1,0,1,2,1
0,28,7,0,0,1,0,0,1,1,162,25,0,6,0,224,4,8,0,2,20,7,18,0,0,0,0,0,0,0,0
6500,19346,3819,13138,1626,9570,53278,2437,15788,8779,286370,56363,65825,10000,24231,146369,33427,20348,12396,44074,52548,26991,49163,271,5969,114,95,36,302,2236,326
124,1775,342,125,0,48,97,8,3,60,26617,1974,181,1435,90,15459,909,428,6,726,3466,839,2363,182,360,0,6,1,10,93,5
139,6068,1351,243,0,104,235,14,112,147,44799,7389,452,1874,274,41609,3949,2360,198,1128,8802,1896,6264,131,317,0,17,1,18,120,6
4045,409,111,9713,10235,1298,572,1983,3947,17586,15194,22091,18150,1202,35307,6351,1937,1367,9502,7612,3326,3362,5414,28,123,0,119,7100,481,533,647
109,1058,401,218,1,230,3321,254,91,558,15015,1121,1618,241,1181,7743,1127,3163,198,1166,3536,2952,5662,104,389,0,5,0,56,46,22
206,38341,6732,605,0,405,577,29,835,434,210138,9602,1024,4458,617,179568,19515,13009,429,6017,27325,12731,26604,493,340,43,164,12,90,463,96
3270,719,246,1488,21253,508,538,2621,28995,7268,16191,15425,14075,1299,25481,7221,2778,2772,1414,4131,3072,3227,5428,33,109,30,101,0,308,396,740
8,60,14,12,0,14,25,2,33,3,840,87,41,12,8,461,223,54,8,35,40,35,81,0,4,0,0,0,2,6,1
44,4473,1064,128,0,115,219,8,774,284,34448,6499,185,1508,133,28688,4095,3641,96,1348,6080,2347,5063,40,199,0,46,0,23,167,4
285,902,230,3112,6,426,6953,643,900,511,9098,10368,4432,1150,4206,9045,3733,2706,2996,1502,1500,3673,6075,33,1697,20,28,5,191,187,12
268,4265,1209,56,0,1732,971,136,450,2615,159173,8583,1389,2908,230,40876,2114,2149,42,4840,11194,11882,15901,212,1954,1,421,93,911,779,64
349,385,112,334,177,535,770,449,389,2941,11205,4823,4287,425,1855,3876,1210,1430,303,1201,2452,1057,2202,14,65,0,13,0,47,98,58
40,949,155,4,0,462,372,7,42,381,21229,468,124,1703,8,7596,238,204,2,893,1155,585,1233,85,748,1,244,0,166,178,3
770,827,189,350,15,311,187,402,11,227,30598,3170,9330,303,1096,5109,1188,2084,312,2122,2335,1382,1924,65,34,0,45,0,128,270,89
3,46,13,5,0,24,124,5,124,7,684,77,28,10,4,461,115,88,4,55,40,49,96,1,15,0,1,0,1,9,0
89,13911,3551,283,0,285,560,27,273,128,70379,7635,1050,4756,1688,82675,6000,6454,241,2354,15801,4941,11355,1856,1291,11,121,7,134,293,11
2950,212,63,7843,5926,568,1393,2083,2761,14625,9979,17596,13035,753,19476,4469,1397,1019,7669,2107,2409,2272,3588,9,82,0,154,29,374,384,920
0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,3,3,1,0,0,1,0,1,0,0,0,0,0,0,0,0
1,21,6,8,0,7,25,1,22,3,339,38,15,8,4,194,98,44,7,10,19,18,40,0,8,0,0,0,0,3,0
