Meningitis,Alzheimer's Disease and Other Dementias,Parkinson's Disease,Nutritional Deficiencies,Malaria,Drowning,Interpersonal Violence,Maternal Disorders,HIV/AIDS,Tuberculosis,Cardiovascular Diseases,Lower Respiratory Infections,Neonatal Disorders,Self-harm,Diarrheal Diseases,Neoplasms,Diabetes Mellitus,Chronic Kidney Disease,Protein-Energy Malnutrition,Road Injuries,Chronic Respiratory Diseases,Cirrhosis and Other Chronic Liver Diseases,Digestive Diseases,Drug Use Disorders,Alcohol Use Disorders,Exposure to Forces of Nature,Environmental Heat and Cold Exposure,Conflict and Terrorism,Poisonings,"Fire, Heat, and Hot Substances",Acute Hepatitis
2,43,10,12,0,25,111,5,81,14,416,102,58,26,11,271,138,102,11,76,67,60,94,1,10,0,0,0,1,4,0
0,15,5,0,0,2,2,0,16,0,173,14,2,3,1,127,20,11,0,9,12,7,16,2,1,2,0,0,0,0,0
150,162,41,241,33,76,435,101,5918,1233,3192,1488,1051,234,910,1128,656,296,235,545,769,287,638,5,22,42,19,0,30,83,10
4519,875,190,8412,31308,781,702,1469,37324,18743,17504,19537,25611,1148,22840,7094,2418,1687,8153,3299,2935,2007,4361,30,127,23,124,0,525,573,711
3003,1267,448,1111,20962,628,831,3119,34326,7435,24650,18141,16525,2075,20679,12532,4679,4395,1042,6093,4056,3840,6708,66,169,4,131,1714,407,560,436
6,361,160,1,0,23,44,2,3,38,12751,168,155,207,7,4960,998,330,0,173,605,296,550,12,25,1,6,0,8,13,1
3159,465,136,3904,8155,573,368,1811,251,4559,8441,16968,12576,353,11692,4626,923,1245,3829,1416,2215,1686,2789,6,44,0,56,0,206,298,318
3462,598,146,3421,11259,447,367,1385,71125,9363,12232,13031,13875,971,13324,7374,1961,1359,3316,1855,2041,3463,5132,22,94,0,80,0,306,326,356
62,4432,898,36,0,144,166,13,34,71,61730,1155,207,2122,364,34557,2407,1809,16,840,6037,3621,6542,49,496,0,222,0,50,139,3
211,132,36,234,0,110,695,197,12596,3067,3946,2188,1521,665,1930,1917,1065,476,227,852,1194,365,831,6,30,0,27,4,48,119,28
11,605,128,4,0,36,33,1,10,29,7698,714,43,673,5,4879,524,129,1,372,742,771,1245,14,138,1,27,0,15,15,1
11,167,37,9,0,43,28,3,11,13,3607,246,174,136,22,938,607,509,8,194,443,342,458,4,51,3,1,0,2,37,1
2383,522,140,1177,17852,318,98,1309,1895,3852,8775,7843,10498,609,11801,3634,1131,1386,1140,1213,1722,1592,2882,9,47,0,52,440,191,227,123
2,2,2,3,0,5,4,2,1,9,89,22,19,10,13,27,14,7,3,9,23,8,14,0,0,0,0,0,0,1,1
5,22,12,1,0,37,22,7,4,8,753,56,95,113,4,495,243,86,0,621,45,118,147,5,4,0,3,0,7,28,2
2,9,5,2,0,7,7,1,3,4,241,24,21,23,3,99,29,17,2,21,34,23,29,1,1,0,0,0,0,1,0
50,384,73,33,1,182,181,25,99,100,3747,450,557,183,128,2540,294,286,29,559,528,374,712,8,43,0,1,0,8,22,13
15,1225,288,11,0,51,49,5,13,33,8991,1369,112,557,39,8711,437,528,6,221,1964,383,1054,189,102,0,7,0,13,39,2
82,32,8,170,46,47,181,40,74,505,858,691,610,91,588,423,228,108,168,204,254,119,209,2,6,0,8,0,19,38,11
1111,5464,1847,874,0,1070,535,1017,95,1039,219382,25864,13363,2593,12788,46171,14715,16806,718,27409,19409,50816,56588,53,125,62,48,39,183,1447,1605
91,49,11,109,324,16,45,39,1,346,793,568,655,28,476,355,107,79,105,114,134,118,225,1,4,0,4,0,11,14,11
2909,580,149,8122,9591,468,487,2790,1103,10514,24756,15741,13410,1083,20549,7254,1918,1343,7901,2294,4830,3450,5086,26,106,395,116,1,342,364,203
37,865,156,20,0,133,467,20,156,51,5127,421,357,341,90,4587,356,1024,18,720,1058,722,1323,16,68,51,2,0,8,19,3
1,136,34,2,0,3,2,0,1,1,678,92,4,37,5,617,23,31,1,11,102,16,59,12,8,0,1,0,1,2,0
34,1943,345,17,0,75,51,2,31,69,19318,2487,114,612,91,10912,642,462,9,362,1924,364,1420,232,273,7,29,0,12,74,2
693,668,179,2129,430,1589,503,1485,5492,10506,17110,19784,7491,665,5393,7519,1864,1347,2012,2706,3136,5579,9081,24,126,7,5,1,94,261,197
422,141,46,449,2821,126,176,449,8320,2568,4700,2221,2340,315,3756,1912,702,451,427,1293,833,746,1228,13,34,0,19,3,62,77,43
0,19,7,3,0,6,38,1,13,1,315,17,9,8,1,202,50,31,3,18,19,24,40,2,9,0,0,0,0,1,0
6761,823,225,9611,28387,807,1113,2476,6357,5217,13760,12945,24339,608,18806,6227,1870,1816,9403,1999,3342,2986,4948,10,65,1,97,200,434,557,470
95,1831,726,6,0,332,538,32,34,342,85801,3744,382,2165,37,14179,2640,1020,2,1411,3812,2699,4294,43,302,0,148,3,165,180,6
1290,475,188,1241,458,1274,2570,1631,14088,1428,19171,6604,5097,738,5786,7277,3172,1547,1204,1057,2742,1612,3459,22,256,5422,142,238,167,490,95
17,590,159,5,0,40,62,4,2,10,9513,357,335,160,7,3528,119,238,4,249,578,274,428,19,16,0,4,0,11,15,1
30,1319,279,5,0,173,178,5,6,66,27640,1797,217,843,15,11246,768,664,3,862,1000,1582,2613,44,130,2,115,0,34,73,3
4109,6321,2343,17604,12017,24762,3199,8914,73,47619,196567,66529,96710,8242,40571,62782,20540,9365,14492,8170,57890,26508,41382,204,253,1002,150,82,434,1427,4153
69,1198,220,316,1,251,3264,67,822,99,7381,2064,839,488,395,4633,1554,2996,315,1385,1154,1160,1927,6,886,14,4,0,10,44,6
2156,771,185,6147,5373,441,494,2449,2392,12475,32217,14160,12975,1402,20318,9844,2549,1771,5962,2792,5647,4139,6638,42,144,0,139,174,372,438,247
3,83,21,7,0,11,31,2,31,2,706,136,26,13,4,640,245,92,5,27,49,36,90,1,6,0,0,0,0,4,0
41,696,130,18,0,143,336,27,168,60,4628,374,364,338,86,3914,350,848,16,713,967,639,1166,14,65,0,2,0,8,19,3
1,6,3,2,0,4,3,1,1,1,109,11,5,3,3,59,39,21,2,5,21,6,13,0,0,0,1,0,0,0,0
2,99,29,1,0,3,2,0,1,2,688,84,6,36,3,573,21,23,1,15,91,15,55,9,7,0,1,0,1,2,0
1,1,1,1,0,1,1,1,0,3,33,10,7,2,3,10,6,2,1,3,10,2,4,0,0,0,0,0,0,0,0
249,23256,4691,332,0,563,466,21,1409,561,123921,11289,893,3803,670,102950,10284,11000,192,4916,30258,9223,21750,776,454,7,128,2,120,273,17
3,13,4,7,0,24,5,13,0,28,365,25,126,13,21,116,29,48,5,19,99,20,31,1,1,0,0,0,0,5,1
643,211,112,237,736,241,274,591,534,1281,7210,4874,2751,154,2537,2557,2011,356,235,1285,4152,335,762,11,41,2182,17,0,86,457,88
0,16,5,2,0,6,6,1,5,1,263,47,11,5,1,188,75,50,2,10,19,18,37,1,4,0,0,0,0,2,0
787,76,26,2474,617,148,310,755,2869,4618,3527,4662,3257,315,5709,1786,494,334,2390,712,785,842,1318,6,31,0,46,31,107,117,93
3746,4736,1315,2251,13470,4488,766,1947,16645,25482,119276,32690,26259,2291,13729,43258,17904,10321,1996,8254,41626,18505,25212,181,399,138366,17,114,1492,378,409
102,68,18,157,28,74,40,65,5551,866,2119,1025,870,254,968,972,421,191,152,375,548,295,570,5,17,0,18,0,30,73,12
1104,140,48,1527,5009,340,697,941,9151,8507,6402,6311,5685,580,8153,2442,935,605,1489,3001,1467,1013,2028,12,57,0,45,4169,157,175,119
1666,313,85,3520,9746,338,66,1369,12833,7981,8046,7011,8144,618,9379,3699,1072,762,3423,1575,1931,1574,2532,8,57,0,69,12921,233,244,176
2284,287,72,8135,4952,304,311,648,561,4836,6183,10973,8111,324,6714,3022,806,672,7946,923,1398,1224,2000,6,40,0,69,0,180,227,140
25,693,152,5,0,322,370,7,96,215,18422,432,99,858,5,5537,256,105,2,681,484,383,985,68,454,6,227,0,71,281,4
5,41,19,1,0,38,27,6,4,9,1121,70,81,131,6,831,345,133,0,737,66,177,221,8,6,0,4,0,7,35,2
931,6457,1587,315,40,1887,2006,412,357,813,133353,9680,22895,4765,1326,38266,6269,7949,288,30973,11937,5400,8467,3296,203,737,57,351,1315,3022,476
146,25,7,379,29,28,83,128,940,462,661,701,747,46,408,385,100,72,372,118,93,133,220,1,6,0,7,0,17,22,15
15,51,17,80,119,64,163,26,302,105,1868,252,369,221,143,604,486,146,72,145,91,170,273,2,23,0,4,0,4,25,3
168,3491,1031,98,0,892,798,26,78,1634,30460,5589,640,4060,23,32096,10088,4580,93,5207,7083,7124,10846,234,130,4,17,0,211,203,8
34,1419,293,3,1,96,182,32,4,255,32330,632,677,285,18,7416,1045,681,1,698,1317,1561,1972,17,53,0,32,621,29,163,9
2,7,5,3,0,12,9,3,27,12,308,38,12,23,10,102,96,45,3,22,55,19,32,1,2,0,0,0,1,1,0
8,253,49,16,0,40,35,9,87,15,2712,240,113,118,32,1197,1700,1048,15,172,428,255,370,16,71,0,0,0,3,23,1
364,2294,517,258,18,1124,1160,175,85,1491,38107,4068,2460,5785,1516,12573,6495,4264,240,3297,11519,5832,6746,186,749,235,117,53,98,435,35
17,657,218,2,0,68,148,7,4,223,15090,401,257,408,10,7083,913,419,1,224,1172,729,1250,5,242,6,4,1,29,67,5
191,1124,419,87,2,539,201,244,363,1605,32373,3281,4557,617,548,7486,2166,4548,83,11532,3042,3041,3920,118,57,5,7,154,163,450,59
74,2148,816,10,0,234,314,17,65,258,82849,2282,312,1559,27,17868,2640,1434,5,1190,3281,2478,3952,59,157,7,150,23,88,152,7
3351,418,132,3335,6111,438,1006,962,59143,9603,11420,11661,10905,978,12715,6265,1796,1361,3243,1986,1987,3348,4932,29,87,0,83,0,310,321,316
149,559,162,243,3,219,2663,361,235,509,7463,1052,2442,180,1791,3670,496,1286,224,1007,1939,1644,3549,48,221,11,4,0,49,39,26
3200,1281,409,3115,468,2084,2917,4327,93,5887,53413,33713,23386,1120,11313,13811,2437,4150,3068,6603,7400,3247,6182,178,98,70,51,5104,502,470,4332
9709,1289,398,14544,83868,3007,1355,5920,22142,43780,47130,58724,43797,2996,38475,19173,6057,4581,14048,20831,11408,8863,15070,70,335,0,251,35,1110,1308,1393
720,52,18,3931,527,146,186,709,718,3940,2842,4975,2784,229,6959,1305,358,247,3813,552,692,610,974,3,23,0,37,10410,93,104,74
159,1591,383,557,94,1098,514,519,1825,6531,27398,12124,4986,764,1853,12927,3229,2004,483,2870,4595,7760,11411,34,124,0,4,5,73,213,332
169,16898,3199,130,0,813,584,14,135,584,164834,11984,693,6704,320,117099,7847,4170,107,3965,10717,8559,17678,182,4469,2,372,0,215,570,11
44,568,112,12,0,61,189,26,73,55,10175,633,817,124,75,4198,521,743,10,342,846,423,662,44,11,0,3,4,31,84,130
0,2,1,0,0,1,0,0,0,0,42,10,3,3,1,20,16,3,0,6,7,2,4,0,0,0,0,0,0,0,0
298,3790,817,162,0,919,732,106,47,914,45150,4629,1235,4329,1027,17984,12963,5325,148,3227,13559,4282,5242,124,374,329,49,1,62,352,24
27,37,24,22,0,60,25,21,5,49,1742,210,198,79,121,427,673,140,21,94,411,63,126,2,1,21,1,0,3,23,4
5773,1081,292,11493,27890,891,1673,3125,5969,5795,17542,14117,29780,800,13232,8044,2416,2373,11236,2364,4098,2876,5517,14,86,5,120,264,498,657,397
45,606,190,153,1,168,397,61,543,144,7260,1039,795,340,217,3866,1642,3100,152,691,1236,1465,2033,10,358,3,4,0,21,23,6
3,14,4,9,0,8,18,1,24,4,250,32,33,7,7,124,76,20,8,13,13,12,28,0,4,0,0,0,0,4,0
4533,585,163,3764,22127,544,873,1215,17412,5270,9792,18731,12829,727,23024,4505,1463,1339,3611,2548,1704,2351,3911,16,74,0,81,0,363,402,310
219,913,176,140,2,803,2038,89,27,1367,29429,7711,2686,272,1319,7638,1019,713,114,1276,2495,2209,3091,25,293,0,171,1519,165,659,63
18,1414,282,5,0,204,165,2,76,190,22068,586,40,1034,16,8404,249,272,2,300,810,975,2131,133,322,0,245,0,96,68,1
153,93,27,191,9,90,460,83,10755,1155,2747,1425,1001,385,1309,1395,705,292,187,552,612,357,694,6,22,0,21,0,38,96,11
830,4470,793,1869,556,1397,30684,694,1869,1191,47195,6626,11283,2316,2427,29080,5353,4525,1799,7697,9563,2731,6985,75,83,913,16,2208,114,315,38
58,498,94,11,0,133,207,64,111,488,16630,1504,1403,443,83,3293,674,620,6,279,375,2352,2703,50,153,1,157,12,39,116,58
146,83,25,173,32,94,354,87,16946,1202,2837,1440,977,412,993,1390,679,290,168,532,682,392,754,6,24,0,23,0,39,99,13
1,22,5,3,0,5,7,1,6,3,234,32,12,4,2,156,58,35,2,13,21,10,24,1,3,0,0,0,1,2,0
33,1391,292,3,1,87,186,27,3,243,33079,615,712,258,17,7121,973,672,1,630,1337,1526,1903,17,52,1,29,10,29,162,9
188,27989,5874,434,0,442,324,17,668,387,122974,13125,615,3857,1183,121607,9401,13757,273,2459,34511,8063,22158,693,409,6,59,0,109,239,14
17,97,23,23,0,46,22,15,11,25,3066,320,297,142,67,668,355,311,20,153,450,265,376,1,68,0,1,0,2,66,3
6,7,5,11,90,14,2,6,2,30,311,71,74,24,61,76,28,16,11,30,90,26,49,0,1,0,1,0,1,2,6
101,683,131,21,1,405,412,56,136,930,18880,1815,1572,694,335,3413,265,597,18,792,3118,1849,2221,76,444,12,134,3,117,159,34
0,1,1,0,0,1,1,0,0,1,40,5,2,2,1,12,10,4,0,3,8,2,4,0,0,0,0,0,0,0,0
2687,41153,7487,8411,287,7245,65597,2209,15316,6029,347193,74791,44173,12929,8446,224727,53744,33482,7806,49398,63704,34788,68919,827,9126,78,72,4,216,1736,255
794,1411,451,439,9,1136,484,1541,50,884,54722,7701,17421,1388,2598,10917,1787,3640,408,13120,4481,2456,4033,179,76,0,34,76,469,1078,478
839,17827,3998,1029,45,6235,1328,271,7049,20233,228957,21492,8216,7878,1774,101684,26317,18835,106,24911,34806,21346,28557,1038,928,162,84,4,925,611,711
290,4206,731,523,55,567,12068,428,1861,677,43284,4287,5018,2027,1325,24932,6686,6730,503,6297,4639,3621,6403,73,163,9,10,10,85,171,18
35,3845,896,9,0,63,71,3,41,54,30832,978,139,1447,80,21138,2214,2642,2,567,2986,1923,3336,207,468,1,40,0,30,44,3
32,4417,995,10,0,58,79,4,44,55,32310,1049,128,1472,123,22000,2306,3369,2,495,3299,1868,3241,155,519,18,39,0,31,44,3
1139,635,184,1539,5221,464,977,509,95833,7161,11596,8980,7645,1425,4005,7864,1842,1394,1516,2319,2162,1743,3321,63,38,0,28,2,240,376,95
44,2845,901,12,0,167,163,10,55,140,74624,1889,220,1066,28,22346,2122,1891,4,846,2805,2579,4351,56,93,0,129,0,44,128,10
16,1186,285,12,0,57,57,5,16,35,9347,1456,108,593,37,8746,454,529,7,252,1995,398,1089,198,103,0,7,0,15,41,2
0,14,2,0,0,0,0,0,1,0,82,6,1,4,0,95,4,3,0,3,8,7,11,0,0,0,0,0,0,0,0
14,791,179,8,0,188,188,4,105,89,16856,408,60,539,4,6102,371,225,2,312,446,497,1088,56,306,0,188,2,35,166,3
1380,389,156,1421,1277,1230,2136,1246,13637,1600,17085,6955,4812,637,6982,6302,2791,1262,1383,967,2475,1461,3172,17,224,14,139,14,178,512,104
120,859,140,262,1,155,801,148,378,241,7263,1246,1197,299,292,4220,1634,1034,258,1116,693,493,1159,7,121,0,4,0,13,64,3
59,58,14,32,796,15,47,60,2084,202,859,361,514,68,125,534,197,126,30,255,146,113,210,4,6,0,3,0,10,13,3
6,19,13,12,1,32,3,8,19,41,869,113,69,51,68,225,127,70,12,67,172,49,92,1,4,0,1,0,2,4,3
2132,7429,1476,1099,15,1486,2400,1448,14,4212,118314,27921,40852,3212,2993,56008,13809,11530,975,8465,18761,5089,9154,113,166,914,66,3012,738,592,1790
1,7,3,2,0,4,3,1,1,1,119,12,5,4,3,65,41,25,2,5,22,7,13,0,1,0,0,0,0,0,0
3,100,28,8,0,10,33,2,25,2,905,164,20,15,5,825,312,123,5,31,63,47,113,1,8,0,0,0,0,5,0
205,2009,595,402,0,592,849,73,436,659,21895,6204,1095,2106,272,19363,1965,2099,386,2376,3322,3887,6062,15,412,4,48,0,54,389,8
996,239,67,380,6798,167,393,723,9744,2134,5635,4421,5478,425,7976,2369,671,683,359,1256,974,1082,1743,9,36,41,34,0,96,131,141
4276,1494,309,5576,15079,468,2725,3414,132670,14672,22435,20360,19998,1927,25128,10390,3282,2478,5379,2861,4664,7711,12085,37,175,4,174,472,541,617,999
387,4343,1096,118,0,571,499,695,328,477,86306,5634,11344,1483,568,20663,4468,7045,98,11131,6739,3592,5703,465,103,12,33,112,363,808,259
79,3575,771,32,0,179,215,14,60,119,60527,981,290,2524,83,36025,2516,1304,14,1215,5222,4924,7799,51,592,0,237,0,64,172,3
132,2453,440,77,0,1571,1167,28,115,472,70680,1374,680,3215,52,23041,811,303,39,2774,6789,1042,2879,175,1976,0,934,0,648,715,27
149,90,27,172,4,87,466,86,12414,1211,2768,1421,1005,390,867,1390,705,293,168,535,624,360,701,6,23,0,21,0,37,95,11
2,40,10,4,0,18,10,7,1,13,452,32,91,17,11,182,44,75,3,20,109,28,42,2,1,0,0,0,0,4,0
848,10043,2195,261,0,1251,2531,342,718,883,143509,10296,18946,4783,1096,51230,9646,9747,215,25356,14236,5947,9822,3377,220,324,73,29,1024,2114,432
49,5369,1200,334,0,82,176,7,73,103,31817,5500,221,2358,812,32532,1689,2619,299,965,6900,2112,5429,197,508,0,53,1,39,137,5
101,3325,676,59,0,275,634,70,201,43,33155,5383,286,1634,252,22288,1695,2018,45,1094,3507,1493,3391,18,411,3,10,0,12,85,5
3,17,5,2,0,11,5,1,6,4,214,71,9,8,5,152,22,38,2,15,28,30,46,1,1,0,0,0,0,2,0
48484,10918,3025,7025,204672,3399,12648,18644,75930,50844,153963,192033,203212,7499,203706,73971,22565,18731,6467,19053,23953,38674,67489,236,1145,94,947,14635,3779,4069,2807
106,5515,1389,107,0,592,503,20,175,948,31630,8859,365,4548,73,43589,8892,5497,98,4133,7291,6597,10126,275,298,600,22,0,92,137,9
1105,11205,2004,576,6,881,2047,612,91,1801,127567,11384,20796,2551,1753,58358,14410,12217,456,5990,21201,5841,10604,135,171,186,54,173,469,464,744
121,132,36,199,1,95,473,52,5866,861,3201,1479,913,388,566,1824,932,386,195,567,610,385,729,7,26,0,18,0,41,103,8
17,1282,243,92,0,43,814,7,579,30,8172,1294,281,302,77,5690,2963,1307,84,567,1531,1011,1583,222,162,0,3,6,6,38,6
2440,496,134,1356,14173,350,102,1371,1274,4000,8594,8160,10527,602,13048,3597,1062,1399,1315,1249,1816,1600,2881,9,47,0,54,347,199,239,133
192,10649,2403,108,0,1191,981,22,154,988,163720,8154,1168,7845,55,101511,5300,5127,72,6648,10688,8291,16853,197,3718,12,508,14,405,693,14
3025,853,205,4244,8798,949,892,2200,13176,13578,21149,14724,20048,1646,18053,10314,3228,2064,4130,9036,3567,5002,7981,58,177,0,119,0,458,518,271
18,764,184,8,0,244,231,5,95,122,18773,491,77,624,4,6456,358,191,2,446,489,566,1225,65,333,2,260,0,53,218,3
4332,464,121,8540,13391,1291,605,1932,6630,17969,15872,21464,19258,1220,29837,6751,2053,1449,8374,8265,3369,3462,5569,30,126,8,120,600,491,545,616
292,5209,1283,114,0,526,459,638,264,445,97931,5786,8756,1516,527,23816,5328,8201,92,11051,7528,4045,6398,526,111,0,40,13,351,782,259
688,304,144,238,2285,349,517,752,3361,1465,11125,6184,3689,214,3303,3770,3103,527,234,1728,5528,472,1029,15,68,19,25,0,129,618,87
17,2032,475,3,0,79,46,2,8,53,23939,535,72,701,30,14012,1113,909,1,373,1852,1139,2199,66,266,0,21,0,18,37,1
6648,929,262,4536,41550,689,1308,1588,6384,6249,16924,19832,15934,1066,15252,6748,2090,1978,4350,3617,2053,2371,4854,32,106,16,100,3,456,514,242
62,3081,616,50,0,813,901,17,370,537,76747,1236,264,2820,13,19224,360,479,26,1372,2304,2742,4718,348,2899,0,913,0,391,761,24
64,1231,209,309,0,179,803,112,627,246,9661,1452,579,423,180,5947,2377,1857,303,1488,1141,733,1637,14,319,0,6,0,11,59,2
58,3195,627,53,0,739,789,17,337,469,76881,1184,254,2622,14,19073,348,482,28,1254,2141,2620,4605,346,3077,3,806,7,379,778,24
9,240,47,15,0,42,40,7,69,15,2665,232,112,122,30,1153,1646,1027,14,178,417,273,387,15,75,0,0,0,3,24,1
95,8098,1770,187,0,81,127,7,61,93,39559,5618,329,2058,418,53752,3025,3583,100,776,10040,1713,6027,171,497,0,16,3,14,102,5
1380,177,47,763,4362,188,281,592,4824,1962,4105,4412,5202,285,7000,1698,444,527,737,1044,781,839,1386,6,26,0,28,4,87,119,117
171,2380,684,511,0,576,780,55,474,634,22596,4139,802,1852,252,20958,2376,2713,491,2352,4068,4087,6343,29,577,21,48,0,54,356,6
2,28,10,5,0,14,12,1,12,13,533,64,18,25,12,153,121,60,4,32,105,30,55,1,2,0,1,0,1,2,1
26788,111481,36703,27043,930,130813,36192,14353,6758,127471,2592143,408263,230108,213924,52455,1660499,81040,105289,25379,244790,1357793,165875,306420,38868,10016,5615,9070,23,20913,14665,17930
2,145,38,1,0,14,30,1,3,7,3465,65,54,128,1,1406,131,112,1,72,73,48,146,1,9,0,6,0,4,14,0
1,12,5,1,0,3,3,0,16,0,194,13,3,3,1,122,20,10,0,11,11,9,19,1,1,0,0,0,1,0,0
2,102,29,1,0,3,3,0,1,2,677,85,6,37,3,578,21,24,1,14,91,15,55,9,7,0,1,0,1,2,0
144,3314,988,590,0,427,797,54,451,521,25449,3980,857,2088,300,25411,2895,3783,563,2399,5264,4503,7080,53,534,508,42,0,44,470,5
95,38,10,146,244,19,82,54,0,421,778,659,707,31,650,334,101,77,139,115,143,114,217,1,3,0,4,0,12,15,11
5856,512,144,8124,20425,757,897,2355,1488,6033,11214,10386,21929,493,23469,4872,1249,1535,7958,1737,2942,2662,4284,8,57,0,95,0,398,490,634
0,10,1,0,0,0,0,0,1,0,67,5,1,3,0,75,3,2,0,3,6,6,9,0,0,0,0,0,0,0,0
2129,1337,398,3877,4136,2809,1124,3086,440,2823,54688,17309,37597,1343,23833,8914,1197,2752,3777,7085,6522,3246,4928,115,73,0,70,3086,1028,1956,3459
656,10525,2944,307,0,7451,7634,112,5047,6323,451071,8586,2019,16914,95,109370,3295,1530,130,11077,24524,16866,25550,1590,12693,0,4823,1,3850,4579,111
30,2544,550,75,0,31,42,1,27,26,14307,2362,118,661,377,17626,1358,1101,44,275,4344,931,2550,195,803,0,14,1,9,73,2
28,2295,529,47,0,47,170,11,38,23,10737,1519,257,509,360,12855,2281,2413,39,572,1774,673,1822,46,58,0,15,1734,8,48,3
0,12,3,0,0,0,1,0,3,0,93,9,1,7,0,139,5,7,0,9,22,8,15,0,1,0,0,0,0,0,1
127,835,139,265,1,154,839,160,386,244,7234,1275,1278,297,320,4196,1632,1003,261,1054,686,478,1132,7,119,1,4,0,13,58,3
1805,2113,510,2379,3337,1956,602,3243,3331,1879,62601,12288,31618,1628,20712,11367,1634,3461,2282,6789,7423,3766,5736,201,80,0,69,12666,825,1489,1896
445,1844,391,73,0,454,904,95,64,84,29914,3413,759,2308,520,15061,2330,830,55,2514,1924,1173,2771,15,148,0,6,34,40,184,35
1348,9350,2085,1625,937,7078,1764,438,3157,25436,145716,19000,17132,5915,4303,56419,13787,10622,265,14844,27444,16712,23934,488,521,799,113,0,1274,558,1088
346,3124,553,963,23,651,9063,342,1299,714,34905,3443,5025,2016,2104,19028,4888,4685,918,5568,3775,2756,5092,41,204,23,8,20,92,150,25
4537,843,185,8805,30748,748,690,1518,30875,18770,17190,19683,25159,1112,24435,6910,2355,1625,8534,3209,2870,1964,4276,29,123,87,124,1,517,565,713
1266,10783,2462,1514,906,6903,1678,384,5900,24676,165575,19832,13953,6220,3195,63881,15690,10939,201,17618,29728,15807,22524,566,601,128,101,29,1201,557,948
62,513,77,16,0,122,94,33,18,68,6074,608,1636,195,160,2359,304,573,14,1602,577,443,679,49,12,0,4,8,52,126,49
96,4449,926,67,0,255,652,54,352,44,40510,7252,194,1778,272,27991,2037,2767,54,1100,4684,2076,4438,30,575,9,19,0,12,98,4
45,2177,413,119,0,47,61,1,47,45,18708,2106,150,796,216,16759,1409,813,82,475,4018,1122,3072,189,798,0,18,0,16,97,2
97,2556,602,112,0,169,313,10,1310,496,44396,4405,358,1505,24,24252,3594,1937,90,2965,5088,3275,5397,96,101,12,36,0,43,173,31
241,1479,410,97,0,144,310,53,13,82,43031,2385,1258,303,119,8363,1727,2521,70,1789,3098,1941,2486,140,59,0,22,31830,76,149,12
135,37,13,133,7,58,211,52,8633,1067,1465,1024,588,234,745,914,625,256,131,441,346,195,357,4,11,0,14,2,26,58,9
454,75687,9534,1253,0,6269,1064,76,188,4464,292714,84580,985,33223,2021,349905,7356,30692,976,10722,38590,24609,46227,432,692,358,1540,0,467,1831,332
263,898,325,173,34,584,173,303,120,1806,23788,3021,8879,463,1540,5366,1751,2970,169,8466,2764,2878,3760,76,43,0,7,0,170,432,95
2294,291,73,8098,5088,309,336,652,783,4975,6174,11091,8219,330,6830,3034,811,683,7911,939,1395,1228,2011,6,40,0,71,0,181,228,145
49,46,13,150,328,69,24,93,248,319,1206,700,714,37,349,429,96,128,140,103,310,134,284,1,5,0,2,0,4,12,9
49,752,139,16,0,106,118,44,61,61,8700,684,677,310,74,3770,593,942,13,2003,811,543,837,142,18,0,4,0,62,131,34
0,22,5,0,0,1,0,0,1,1,196,19,1,5,0,168,3,5,0,3,17,7,15,0,0,0,0,0,0,0,0
63,411,108,38,0,126,480,9,2,26,7269,1176,836,170,22,2963,129,238,36,297,804,279,499,21,15,0,7,5,27,24,2
3,51,14,5,0,25,123,4,125,7,725,80,25,11,4,497,122,98,4,56,43,53,104,1,16,0,1,0,1,9,0
169,1295,471,70,0,644,286,299,487,1754,37703,4036,2770,984,384,8663,2176,5381,66,16051,3184,2922,3812,115,71,161,8,5,191,545,53
17,21,18,27,145,120,31,60,34,45,2156,489,116,142,250,588,408,98,27,155,335,130,188,4,12,0,3,0,19,20,10
200,1076,404,102,5,525,186,237,301,1524,30307,3198,5425,567,654,7285,2219,4254,99,10522,3016,3162,4051,138,60,19,7,1,166,462,65
560,1823,312,779,72,890,3572,365,786,952,27673,3775,5878,1252,3091,13588,3503,1863,724,5365,2192,2251,4153,26,263,0,7,230,87,144,98
453,834,229,164,1,254,358,210,21,125,32300,1854,3793,300,347,6010,1345,2205,133,2072,2408,1457,1965,84,39,27,31,20,93,233,42
39,1109,265,8,0,209,174,11,1,116,28461,2768,524,933,17,10578,833,681,5,1021,1022,1607,2625,42,212,0,108,0,54,75,3
0,25,6,0,0,1,0,0,1,1,168,23,0,5,0,204,4,7,0,2,20,7,17,0,0,0,0,0,0,0,0
8,910,171,2,0,24,17,1,1,17,6799,558,31,466,5,5867,302,205,0,179,548,648,1151,27,163,7,21,0,6,12,1
450,1720,408,185,29,799,538,421,1672,2586,36646,6987,2426,1287,925,16058,3402,3460,175,6083,6799,2936,6227,73,182,1,12,0,206,246,213
160,510,144,285,13,222,2511,363,202,519,6807,1192,2714,172,2214,3273,434,1031,263,911,1795,1529,3395,41,202,34,4,0,52,40,30
113,880,166,354,1,328,3248,125,390,215,6971,2368,1836,571,1235,3908,1054,1580,353,1682,1093,1185,2167,10,1058,483,4,0,18,60,6
3338,401,128,3357,7365,436,940,976,61380,9801,11173,11618,10669,953,13292,6136,1769,1340,3261,1934,1964,3320,4888,28,84,2,82,0,305,313,323
83,60,13,95,393,17,48,32,1,310,881,535,579,30,374,402,122,89,91,121,144,127,241,1,4,2,4,0,11,15,11
